Number,Count
1,193
2,181
3,195
4,190
5,173
6,194
7,194
8,175
9,152
10,183
11,186
12,200
13,198
14,190
15,184
16,187
17,198
18,190
19,183
20,193
21,187
22,159
23,161
24,189
25,167
26,189
27,200
28,172
29,165
30,182
31,189
32,173
33,198
34,203
35,185
36,181
37,190
38,192
39,185
40,189
41,160
42,175
43,196
44,182
45,187
